molecule_chembl_id,canonical_smiles,pIC50,bioactivity,Number of H donors,Number of H Acceptors,LogP,molecular mass,Ro5violations,Ro5Rule,PSA,numrotbonds,Verber Rule P or F,QED
CHEMBL1819479,CCCC/C(=C\c1cc(OCc2ccc(C(F)(F)F)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,5.0,inactive,1,3,8.540400000000005,552.5110000000002,2,Fail,55.760000000000005,11,fail,0.19135841052822303
CHEMBL3397710,CCCC/C(=C\c1cc(OCc2ccccc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,5.0,inactive,1,3,7.521600000000007,484.5140000000002,1,Pass,55.760000000000005,11,fail,0.2860546508031034
CHEMBL3397711,CCCC/C(=C\c1cc(OC/C=C/c2ccccc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,5.0,inactive,1,3,8.034800000000008,510.5520000000002,2,Fail,55.760000000000005,12,fail,0.25065774250360057
CHEMBL3397715,CCCC/C(=C\c1cc(OCc2ccc(F)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,5.0,inactive,1,3,7.660700000000007,502.5040000000002,2,Fail,55.760000000000005,11,fail,0.216044597037849
CHEMBL3397716,CCCC/C(=C\c1cc(OCc2ccc(Cl)c(Cl)c2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,5.0,inactive,1,3,8.828400000000004,553.4040000000002,2,Fail,55.760000000000005,11,fail,0.24122468786970944
CHEMBL3397717,CCCC/C(=C\c1cc(OCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,5.0,inactive,1,3,9.559199999999999,620.5080000000003,2,Fail,55.760000000000005,11,fail,0.17142152465994653
CHEMBL3397719,CCCC/C(=C\c1cc(OCc2cc3ccccc3s2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,5.0,inactive,1,4,8.736300000000005,540.6030000000002,2,Fail,55.760000000000005,11,fail,0.193330043227494
CHEMBL3397720,CCCC/C(=C\c1cc(OCc2csc(-c3ccc(C(F)(F)F)cc3)n2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,5.0,inactive,1,5,9.6639,635.6260000000003,2,Fail,68.65,12,fail,0.12404451821385995
CHEMBL3397721,CCCC/C(=C\c1cc(OCc2ccc3nc(C(F)(F)F)cc(OC)c3c2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,5.0,inactive,1,5,9.097200000000003,633.5850000000004,2,Fail,77.88,12,fail,0.12391239972359279
CHEMBL3397723,CCCC/C(=C\c1cc(OCc2ccc(Oc3ccccn3)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,5.0,inactive,1,5,8.708900000000005,577.5990000000003,2,Fail,77.88,13,fail,0.16021611215651246
CHEMBL3397726,CCCC/C(=C\c1cc(OCC(c2ccccc2)c2ccccc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,5.0,inactive,1,3,9.153500000000003,574.6390000000002,2,Fail,55.760000000000005,13,fail,0.16184455173072435
CHEMBL3397727,CCCC/C(=C\c1cc(OCC2CCC(C(F)(F)F)CC2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,5.0,inactive,1,3,8.690100000000006,558.5590000000003,2,Fail,55.760000000000005,11,fail,0.2214674112516115
CHEMBL3397728,CCCC/C(=C\c1cc(OCCc2ccc(C(F)(F)F)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,5.0,inactive,1,3,8.582900000000006,566.5380000000002,2,Fail,55.760000000000005,12,fail,0.1762720192616979
CHEMBL3397724,CCCC/C(=C\c1cc(OCc2ccc(OCCN3CCOCC3)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,5.0,inactive,1,6,7.232600000000007,613.6730000000005,2,Fail,77.46000000000001,15,fail,0.18128539001684213
CHEMBL3402594,Cc1c(CC(=O)NC(C)C)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1cccc(F)c1,5.154901959985743,intermediate,1,4,4.062420000000003,428.5290000000001,0,Pass,68.17,6,pass,0.6437528726635336
CHEMBL3402595,Cc1c(CC(=O)NC(C)C)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,5.308918507877031,intermediate,1,4,4.062420000000003,428.5290000000001,0,Pass,68.17,6,pass,0.6437528726635336
CHEMBL3402596,CCOC(=O)Cc1cc(-c2ccc(S(N)(=O)=O)cc2)n(-c2cccc(F)c2)c1C,6.036212172654444,active,1,5,3.344820000000002,416.4740000000001,0,Pass,91.39000000000001,6,pass,0.6240788390809258
CHEMBL3402597,CCOC(=O)Cc1cc(-c2ccc(S(N)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C,5.97061622231479,intermediate,1,5,3.344820000000002,416.4740000000001,0,Pass,91.39000000000001,6,pass,0.6240788390809258
CHEMBL3402600,CCCNC(=O)Cc1cc(-c2ccc(S(N)(=O)=O)cc2)n(-c2cccc(F)c2)c1C,5.2380721615794705,intermediate,2,4,3.307920000000001,429.5170000000001,0,Pass,94.19,7,pass,0.6033170075944458
CHEMBL3400658,CC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(=O)C(C)C,4.301029995663981,inactive,3,8,1.7077999999999995,476.56600000000026,0,Pass,130.36,4,pass,0.4129604560026583
CHEMBL3400659,CCC(C)C(=O)O[C@@]12[C@H](OC(=O)c3ccccc3)[C@@H](C)[C@@]3(O)[C@@H](C=C(CO)C[C@]4(O)C(=O)C(C)=C[C@@H]34)[C@@H]1C2(C)C,5.070581074285707,intermediate,3,8,3.3918000000000017,552.6640000000002,1,Pass,130.36,6,pass,0.36175083812602854
CHEMBL3400660,C/C=C(\C)C(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C(=O)C(CO)=C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(=O)C(C)CC,4.301029995663981,inactive,3,9,2.2231999999999994,544.6410000000002,1,Pass,147.42999999999998,6,fail,0.3381633430324931
CHEMBL3400661,CCC(C)C(=O)O[C@@]12[C@H](O)[C@@H](C)[C@]3(O)[C@@H]4C=C(C)C(=O)[C@@H]4CC(CO)=C[C@H]3[C@@H]1C2(C)C,4.301029995663981,inactive,3,6,2.4122000000000003,432.55700000000024,0,Pass,104.06000000000002,4,pass,0.4655803416006878
CHEMBL2375787,C/C=C(\C)C(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(=O)C(C)C,4.301029995663981,inactive,3,8,2.6541000000000006,516.6310000000003,1,Pass,130.36,5,pass,0.28887607568495316
CHEMBL2375786,C/C=C(\C)C(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(=O)C(C)CC,4.301029995663981,inactive,3,8,3.044200000000001,530.6580000000002,1,Pass,130.36,6,pass,0.27142599401845796
CHEMBL3400662,CCC(C)C(=O)O[C@@]12[C@H](OC(C)=O)[C@@H](C)[C@@]3(O)[C@@H](C(=O)C(CO)=C[C@]4(O)C(=O)C(C)=C[C@@H]34)[C@@H]1C2(C)C,4.301029995663981,inactive,3,9,1.2768999999999995,504.5760000000003,1,Pass,147.43,5,fail,0.47098248148669974
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,7.721246399047171,active,1,4,3.5139200000000006,381.3790000000001,0,Pass,77.98,3,pass,0.7541053298167572
CHEMBL3402317,COc1ccc2cc(C(C)c3nc4s/c(=C\C(C)=C\c5ccccc5)c(=O)n4n3)ccc2c1,4.609064892896621,inactive,0,6,5.067500000000005,453.5670000000001,1,Pass,56.489999999999995,5,pass,0.37294793431960066
CHEMBL3402318,COc1ccc2cc(C(C)c3nc4s/c(=C\c5ccc(C(C)C)cc5)c(=O)n4n3)ccc2c1,4.0,inactive,0,6,5.135700000000005,455.58300000000014,1,Pass,56.489999999999995,5,pass,0.3684184239184596
CHEMBL3402325,COc1ccc2cc(C(C)c3nc4s/c(=C\c5ccc(-c6ccccc6)cc5)c(=O)n4n3)ccc2c1,4.0,inactive,0,6,5.679300000000006,489.60000000000014,1,Pass,56.489999999999995,5,pass,0.3126976507262784
CHEMBL3402326,COc1ccc2cc(C(C)c3nc4s/c(=C\c5cccc6ccccc56)c(=O)n4n3)ccc2c1,4.166215625343521,inactive,0,6,5.165500000000004,463.5620000000001,1,Pass,56.489999999999995,4,pass,0.3621595348445686
